Attributes.business_name,Attributes.website_link,Address,Attributes.city,Attributes.keyword,ChannelType
South Bay Technology Gurus,http://southbaytechgurus.com,chris@southbaytechgurus.com,"Manhattan Beach, CA",Software,EMAIL
Technology Management Concepts,http://abouttmc.com,info@tmc-la.com,"Manhattan Beach, CA",Software,EMAIL
Technology Management Concepts,http://abouttmc.com,bhensley@tmc-la.com,"Manhattan Beach, CA",Software,EMAIL
Technology Management Concepts,http://abouttmc.com,careers@tmc-la.com,"Manhattan Beach, CA",Software,EMAIL
Facet Interactive,http://facetinteractive.com,info@facetinteractive.com,"Manhattan Beach, CA",Software,EMAIL
Wildebeest,http://wildebee.st,site@wildebee.st,"Manhattan Beach, CA",Software,EMAIL
Wildebeest,http://wildebee.st,careers@wildebee.st,"Manhattan Beach, CA",Software,EMAIL
Wildebeest,http://wildebee.st,privacy@wildebee.st,"Manhattan Beach, CA",Software,EMAIL
WeDigTech,http://wedigtech.com,hr@wedigtech.com,"Manhattan Beach, CA",Software,EMAIL
WeDigTech,http://wedigtech.com,sales@wedigtech.com,"Manhattan Beach, CA",Software,EMAIL
White Flag Computing,http://whiteflagcomputing.com,whiteflagcomputing@gmail.com,"Manhattan Beach, CA",Software,EMAIL
Caplinked,http://caplinked.com,sales@caplinked.com,"Manhattan Beach, CA",Software,EMAIL
Caplinked,http://caplinked.com,support@caplinked.com,"Manhattan Beach, CA",Software,EMAIL
